Health Region,Health District,Locality
Central Region,Chesterfield,Chesterfield
Central Region,Chesterfield,Colonial Heights
Central Region,Chesterfield,Powhatan
Central Region,Crater,Dinwiddie
Central Region,Crater,Greensville
Central Region,Crater,Prince George
Central Region,Crater,Surry
Central Region,Crater,Sussex
Central Region,Crater,Emporia
Central Region,Crater,Hopewell
Central Region,Crater,Petersburg
Central Region,Chickahominy,Charles City
Central Region,Chickahominy,Goochland
Central Region,Chickahominy,Hanover
Central Region,Chickahominy,New Kent
Central Region,Henrico,Henrico
Central Region,Piedmont,Amelia
Central Region,Piedmont,Buckingham
Central Region,Piedmont,Charlotte
Central Region,Piedmont,Cumberland
Central Region,Piedmont,Lunenburg
Central Region,Piedmont,Nottoway
Central Region,Piedmont,Prince Edward
Central Region,Richmond,Richmond City
Central Region,Southside,Brunswick
Central Region,Southside,Halifax
Central Region,Southside,Mecklenburg
Eastern Region,Chesapeake,Chesapeake
Eastern Region,Eastern Shore,Accomack
Eastern Region,Eastern Shore,Northhampton
Eastern Region,Hampton,Hampton
Eastern Region,Norfolk,Norfolk
Eastern Region,Peninsula,James City
Eastern Region,Peninsula,York
Eastern Region,Peninsula,Newport News
Eastern Region,Peninsula,Poquoson
Eastern Region,Peninsula,Williamsburg
Eastern Region,Portsmouth,Portsmouth
Eastern Region,Three Rivers,Essex
Eastern Region,Three Rivers,Gloucester
Eastern Region,Three Rivers,King & Queen
Eastern Region,Three Rivers,King William
Eastern Region,Three Rivers,Lancaster
Eastern Region,Three Rivers,Mathews
Eastern Region,Three Rivers,Middlesex
Eastern Region,Three Rivers,Northumberland
Eastern Region,Three Rivers,Richmond County
Eastern Region,Three Rivers,Westmoreland
Eastern Region,Virginia Beach,Virginia Beach
Eastern Region,Western Tidewater,Isle of Wight
Eastern Region,Western Tidewater,Southampton
Eastern Region,Western Tidewater,Franklin City
Eastern Region,Western Tidewater,Suffolk
Southwest Region,Alleghany,Alleghany
Southwest Region,Alleghany,Botertourt
Southwest Region,Alleghany,Craig
Southwest Region,Alleghany,Roanoke County
Southwest Region,Alleghany,Covington
Southwest Region,Alleghany,Salem
Southwest Region,Central Virginia,Amherst
Southwest Region,Central Virginia,Appomattox
Southwest Region,Central Virginia,Bedford
Southwest Region,Central Virginia,Campbell
Southwest Region,Central Virginia,Lynchburg
Southwest Region,Cumberland Plateau,Buchanan
Southwest Region,Cumberland Plateau,Dickenson
Southwest Region,Cumberland Plateau,Russell
Southwest Region,Cumberland Plateau,Tazewell
Southwest Region,Lenowisco,Lee
Southwest Region,Lenowisco,Scott
Southwest Region,Lenowisco,Wise
Southwest Region,Lenowisco,Norton
Southwest Region,Mount Rogers,Bland
Southwest Region,Mount Rogers,Carroll
Southwest Region,Mount Rogers,Grayson
Southwest Region,Mount Rogers,Smyth
Southwest Region,Mount Rogers,Washington
Southwest Region,Mount Rogers,Wythe
Southwest Region,Mount Rogers,Bristol
Southwest Region,Mount Rogers,Galax
Southwest Region,New River,Floyd
Southwest Region,New River,Giles
Southwest Region,New River,Montomery
Southwest Region,New River,Pulaski
Southwest Region,New River,Radford
Southwest Region,Pittsylvania-Danville,Pittsylvania
Southwest Region,Pittsylvania-Danville,Danville
Southwest Region,Roanoke,Roanoke City
Southwest Region,West Piedmont,Franklin County
Southwest Region,West Piedmont,Henry
Southwest Region,West Piedmont,Patrick
Southwest Region,West Piedmont,Martinsville
Northern Region,Alexandria,Alexandria
Northern Region,Arlington,Arlington
Northern Region,Fairfax,Fairfax County
Northern Region,Fairfax,Fairfax City
Northern Region,Fairfax,Falls Church
Northern Region,Loudoun,Loudoun
Northern Region,Prince William,Prince William
Northern Region,Prince William,Manassas
Northern Region,Prince William,Manassas Park
Northwest Region,Central Shenandoah,Augusta
Northwest Region,Central Shenandoah,Bath
Northwest Region,Central Shenandoah,Highland
Northwest Region,Central Shenandoah,Rockbridge
Northwest Region,Central Shenandoah,Rockingham
Northwest Region,Central Shenandoah,Buena Vista
Northwest Region,Central Shenandoah,Harrisonburg
Northwest Region,Central Shenandoah,Lexington
Northwest Region,Central Shenandoah,Staunton
Northwest Region,Central Shenandoah,Waynesboro
Northwest Region,Lord Fairfax,Clarke
Northwest Region,Lord Fairfax,Frederick
Northwest Region,Lord Fairfax,Page
Northwest Region,Lord Fairfax,Shenandoah
Northwest Region,Lord Fairfax,Warren
Northwest Region,Lord Fairfax,Winchester
Northwest Region,Rappahannock,Caroline
Northwest Region,Rappahannock,King George
Northwest Region,Rappahannock,Spotsylvania
Northwest Region,Rappahannock,Stafford
Northwest Region,Rappahannock,Fredericksburg
Northwest Region,Rappahannock Rapidan,Culpeper
Northwest Region,Rappahannock Rapidan,Gauquier
Northwest Region,Rappahannock Rapidan,Madison
Northwest Region,Rappahannock Rapidan,Orange
Northwest Region,Rappahannock Rapidan,Rappahannock
Northwest Region,Blue Ridge,Albermarle
Northwest Region,Blue Ridge,Fluvanna
Northwest Region,Blue Ridge,Greene
Northwest Region,Blue Ridge,Louisa
Northwest Region,Blue Ridge,Nelson
Northwest Region,Blue Ridge,Charlottesville
